exp_id,MASE,SoftDTW,TPAloss,SQL,var,em,block,TPA,Neff,maxw
B11-M-101,2.23999469296207,13692.0237717494,0.25,1.5635731053494817,HCPI,EM18,A,0.75,1.0,1.0
B11-M-102,0.278640085727726,234.089409459162,0.0,0.2254301313808595,HCPI,EM18,A,1.0,1.0,1.0
B11-M-103,0.195014672509955,256.998377257657,0.0,0.155316925475922,FCPI,EM2,A,1.0,1.8278858088539516,0.702127659574468
B11-M-104,0.118047927272321,26.5950259886966,0.166666666666667,0.0949919904793484,FCPI,EM2,A,0.833333333333333,2.5021645021645016,0.558823529411765
B11-M-105,0.159751876686438,95.7354329700628,0.0,0.1068244450740009,FCPI,EM2,A,1.0,1.3294336612603033,0.86
B11-M-106,0.0519055075996618,2.32254161656671,0.2,0.0663166549617488,FCPI,EM2,A,0.8,3.0805500982318255,0.446428571428572
B11-M-107,0.0565250304639996,6.15100700191267,0.0,0.0662222331863009,FCPI,EM2,A,1.0,2.929666366095583,0.403508771929824
B11-M-108,0.0643747498116624,4.51580850490585,0.0,0.1050232755467284,FCPI,EM2,A,1.0,1.3314324052331432,0.857142857142857
B11-M-109,0.227891201881653,358.556988283152,0.0,0.1809379593963609,FCPI,EM3,A,1.0,2.7762354247640197,0.53
B11-M-110,0.0704922801090531,13.7228303272371,0.0,0.0924141130885823,FCPI,EM3,A,1.0,2.221235006663705,0.53
B11-M-111,0.19358235352791,174.289683526049,0.0,0.1287677036147998,FCPI,EM3,A,1.0,4.682728749323228,0.311827956989247
B11-M-112,0.0571062062580772,3.62881662101353,0.0,0.081265385860283,FCPI,EM3,A,1.0,3.467817896389325,0.446808510638298
B11-M-113,0.0987784847733657,50.3286325188729,0.25,0.0921100901518806,FCPI,EM3,A,0.75,2.2883295194508007,0.63
B11-M-114,0.0732616667774911,13.4189638811111,0.0,0.1183880641228043,FCPI,EM3,A,1.0,6.018789144050104,0.236559139784946
B11-M-115,0.195014672509955,256.998377257657,0.0,0.155316925475922,FCPI,EM4,A,1.0,1.8278858088539516,0.702127659574468
B11-M-116,0.094469960697726,17.2836686849269,0.166666666666667,0.0806380422490576,FCPI,EM4,A,0.833333333333333,2.6246719160104983,0.56
B11-M-117,0.166026163010671,109.09905755617,0.0,0.1088413414755274,FCPI,EM4,A,1.0,1.484185493460167,0.810126582278481
B11-M-118,0.0525601464946415,2.5764824382247,0.2,0.0664897739300654,FCPI,EM4,A,0.8,3.112416640203238,0.454545454545455
B11-M-119,0.0566816504283881,6.24270234118396,0.0,0.066268631467777,FCPI,EM4,A,1.0,2.925925925925927,0.40506329113924
B11-M-120,0.0643747498116624,4.51580850490585,0.0,0.1050232755467284,FCPI,EM4,A,1.0,1.3314324052331432,0.857142857142857
B11-M-121,0.196740799678618,262.469728274681,0.0,0.1564809388023276,FCPI,EM5,A,1.0,1.8359150889271367,0.7
B11-M-122,0.118047927272321,26.5950259886966,0.166666666666667,0.0949919904793484,FCPI,EM5,A,0.833333333333333,2.5021645021645016,0.558823529411765
B11-M-123,0.159751876686438,95.7354329700628,0.0,0.1068244450740009,FCPI,EM5,A,1.0,1.3294336612603033,0.86
B11-M-124,0.0498253218802188,0.976571645331457,0.2,0.0653429147388852,FCPI,EM5,A,0.8,3.028467595396729,0.43
B11-M-125,0.0565250304639996,6.15100700191267,0.0,0.0662222331863009,FCPI,EM5,A,1.0,2.929666366095583,0.403508771929824
B11-M-126,0.064432526497695,4.54141039269174,0.0,0.1041418968513097,FCPI,EM5,A,1.0,1.3040045121263388,0.867647058823529
B11-M-127,0.195014672509955,256.998377257657,0.0,0.155316925475922,FCPI,EM6,A,1.0,1.8278858088539516,0.702127659574468
B11-M-128,0.116880691180334,25.7524018823018,0.166666666666667,0.094026650928218,FCPI,EM6,A,0.833333333333333,2.5071090047393363,0.565217391304348
B11-M-129,0.159751876686438,95.7354329700628,0.0,0.1068244450740009,FCPI,EM6,A,1.0,1.3294336612603033,0.86
B11-M-130,0.0519055075996618,2.32254161656671,0.2,0.0663166549617488,FCPI,EM6,A,0.8,3.0805500982318255,0.446428571428572
B11-M-131,0.0565250304639996,6.15100700191267,0.0,0.0662222331863009,FCPI,EM6,A,1.0,2.929666366095583,0.403508771929824
B11-M-132,0.0643747498116624,4.51580850490585,0.0,0.1050232755467284,FCPI,EM6,A,1.0,1.3314324052331432,0.857142857142857
B11-M-133,0.235530391102153,391.9838951387,0.0,0.1867105526611902,FCPI,EM7,A,1.0,2.5113008538422905,0.56
B11-M-134,0.0699830683785969,13.2863020175687,0.0,0.0931841181152633,FCPI,EM7,A,1.0,2.267175572519084,0.525252525252525
B11-M-135,0.191608794705174,172.627207040387,0.0,0.127881590898015,FCPI,EM7,A,1.0,4.637533512064344,0.32258064516129
B11-M-136,0.0550281217423205,2.99396837163543,0.0,0.0813942655781619,FCPI,EM7,A,1.0,3.255711127487103,0.457446808510638
B11-M-137,0.0939853371315581,43.8305648513324,0.25,0.0896447574881755,FCPI,EM7,A,0.75,2.3682355902340824,0.618556701030928
B11-M-138,0.0733617248577341,13.549985192271,0.0,0.1182978491580106,FCPI,EM7,A,1.0,6.151162790697676,0.217391304347826
B11-M-139,0.195014672509955,256.998377257657,0.0,0.155316925475922,FCPI,EM8,A,1.0,1.8278858088539516,0.702127659574468
B11-M-140,0.116880691180334,25.7524018823018,0.166666666666667,0.094026650928218,FCPI,EM8,A,0.833333333333333,2.5071090047393363,0.565217391304348
B11-M-141,0.159857370959149,95.9255732032943,0.0,0.1068530355706083,FCPI,EM8,A,1.0,1.333287988028839,0.858585858585859
B11-M-142,0.0498253218802188,0.976571645331457,0.2,0.0653429147388852,FCPI,EM8,A,0.8,3.028467595396729,0.43
B11-M-143,0.0565250304639996,6.15100700191267,0.0,0.0662222331863009,FCPI,EM8,A,1.0,2.929666366095583,0.403508771929824
B11-M-144,0.0643593440898242,4.59951645345973,0.0,0.104957294280651,FCPI,EM8,A,1.0,1.3322005097706033,0.857142857142857
B11-M-145,0.0575428742451611,3.82845542242765,0.2,0.0724461997246983,FCPI,EM9,A,0.8,1.8845291479820638,0.695121951219512
B11-M-146,0.067522666685907,12.2010815486351,0.0,0.0654392486261701,FCPI,EM9,A,1.0,1.7404856832185571,0.724489795918367
B11-M-147,0.122872996334646,53.5988476768219,0.2,0.0855234044913069,FCPI,EM9,A,0.8,3.2483221476510042,0.420454545454546
B11-M-148,0.104143469548268,34.0955689869469,0.0,0.07944031467799,FCPI,EM9,A,1.0,2.8409199808337333,0.441558441558441
B11-M-149,0.0406119030990112,-1.57621143024579,0.25,0.0576344313824657,FCPI,EM9,A,0.75,2.9726516052318672,0.43
B11-M-150,0.0600801512488274,4.19981510862342,0.25,0.0617337477139066,FCPI,EM9,A,0.75,2.398002853067046,0.51219512195122
B11-M-151,0.0576893067609784,3.57788049691201,0.2,0.072737831600775,FCPI,EM10,A,0.8,1.8301578660860105,0.707317073170732
B11-M-152,0.0676887235239896,12.7212346570672,0.166666666666667,0.0655575970518046,FCPI,EM10,A,0.833333333333333,1.803101334294987,0.71
B11-M-153,0.124235289608492,55.5068387494018,0.2,0.0866418397624003,FCPI,EM10,A,0.8,3.036467236467237,0.452054794520548
B11-M-154,0.110721755618891,39.3163335795621,0.0,0.0818025198271562,FCPI,EM10,A,1.0,2.5628476084538376,0.46875
B11-M-155,0.0422878653730459,-0.796192249199974,0.25,0.053612673237079,FCPI,EM10,A,0.75,2.7675675675675677,0.46875
B11-M-156,0.0570099905421336,1.9640386829421,0.25,0.0615790137375139,FCPI,EM10,A,0.75,2.456892577224527,0.506849315068493
B11-M-157,0.0576893067609784,3.57788049691201,0.2,0.072737831600775,FCPI,EM11,A,0.8,1.8301578660860105,0.707317073170732
B11-M-158,0.0674370703776173,11.951089088195,0.0,0.065378244283059,FCPI,EM11,A,1.0,1.7085527510441256,0.731958762886598
B11-M-159,0.120333521749227,50.4668499209859,0.2,0.0846120829846678,FCPI,EM11,A,0.8,3.1051212938005377,0.447916666666667
B11-M-160,0.106208398986816,35.7454372015626,0.0,0.0801197967021009,FCPI,EM11,A,1.0,2.795483596080103,0.444444444444444
B11-M-161,0.0399402354219783,-1.74481408529104,0.25,0.0528774411684511,FCPI,EM11,A,0.75,2.8473804100227795,0.44
B11-M-162,0.0605159364356598,4.19656851928346,0.25,0.0619469500549506,FCPI,EM11,A,0.75,2.310521266389511,0.529411764705882
B11-M-163,0.177071579759967,206.235316059297,0.0,0.140932293929284,FCPI,EM12,A,1.0,2.204585537918871,0.64
B11-M-164,0.135430601879809,42.3849702166939,0.166666666666667,0.0972247411391418,FCPI,EM12,A,0.833333333333333,2.8119099491648494,0.556818181818182
B11-M-165,0.164404796223038,116.215681945575,0.0,0.1074987451204617,FCPI,EM12,A,1.0,3.3771964076532592,0.505376344086022
B11-M-166,0.0729300562916538,12.14671618189,0.2,0.0751828985980107,FCPI,EM12,A,0.8,3.8639876352395675,0.38
B11-M-167,0.114853998902708,84.3920622252651,0.25,0.0874055690934677,FCPI,EM12,A,0.75,1.608751608751609,0.78
B11-M-168,0.0551194306730338,3.92954508942588,0.0,0.0853609023670211,FCPI,EM12,A,1.0,3.6124284546197867,0.404255319148936
B11-M-169,0.240442168581515,400.015466390498,0.0,0.185563414482567,FCPI,EM13,A,1.0,2.952301255230125,0.511904761904762
B11-M-170,0.0615062833787403,9.00393333740072,0.166666666666667,0.0777254102497325,FCPI,EM13,A,0.833333333333333,3.092145949288806,0.4
B11-M-171,0.189865386853845,175.857704517481,0.4,0.1287579187562134,FCPI,EM13,A,0.6,2.686511627906974,0.565789473684211
B11-M-172,0.0601815343444538,6.09222047387066,0.2,0.0710965254157497,FCPI,EM13,A,0.8,3.2405395279130773,0.462365591397849
B11-M-173,0.109463189704504,70.7704500826535,0.0,0.0848186615532707,FCPI,EM13,A,1.0,1.6140105078809106,0.78125
B11-M-174,0.0357718282212362,-1.65537951668703,0.0,0.0746782942394369,FCPI,EM13,A,1.0,2.4725415070242653,0.556818181818182
B11-M-175,0.284601945939988,582.944161417576,0.2,0.220661439636307,FCPI,EM14,A,0.8,3.067605633802815,0.464646464646465
B11-M-176,0.0718511255071354,15.3187547442927,0.0,0.0912985757069531,FCPI,EM14,A,1.0,2.3441162681669008,0.52
B11-M-177,0.208588740803215,208.056923666112,0.0,0.1376363686041662,FCPI,EM14,A,1.0,3.846153846153846,0.38
B11-M-178,0.0675872974219025,8.42085399324793,0.0,0.0837278649350969,FCPI,EM14,A,1.0,3.1512125534950073,0.5
B11-M-179,0.0998899322449949,55.9614180143059,0.25,0.0851583277991407,FCPI,EM14,A,0.75,1.841620626151013,0.72
B11-M-180,0.0705369080120969,6.63806628235426,0.0,0.105914883797974,FCPI,EM14,A,1.0,3.303955586398335,0.492753623188406
B11-M-181,0.162590337421326,144.320222197413,1.0,0.1952886628617929,FCPI,EM15,A,0.0,1.0,1.0
B11-M-182,0.155076554739859,136.507721356008,1.0,0.1940385054865904,FCPI,EM15,A,0.0,1.0,1.0
B11-M-183,0.137529163477247,104.485333016649,1.0,0.1896581599065419,FCPI,EM15,A,0.0,1.0,1.0
B11-M-184,0.134491245310143,98.0073911284056,1.0,0.1888446542427055,FCPI,EM15,A,0.0,1.0,1.0
B11-M-185,0.146402973934733,117.004632812404,1.0,0.1910253197215691,FCPI,EM15,A,0.0,1.0,1.0
B11-M-186,0.162598476679464,152.332554426535,1.0,0.1960785941343628,FCPI,EM15,A,0.0,1.0,1.0
B11-M-187,0.0661925168915565,2.7671393147959,0.2,0.0749772689775908,FCPI,EM16,A,0.8,1.0,1.0
B11-M-188,0.0570574111315333,-2.45052575831041,0.166666666666667,0.0699601494329977,FCPI,EM16,A,0.833333333333333,1.0,1.0
B11-M-189,0.1832183893713157,159.8805187796738,0.0,0.12779172914664,FCPI,EM16,A,1.0,1.6,0.75
