var,em,origin,h,band,hit,d_act,d_fc,flat_act,flat_fc
CCPI,EM12,2025-06-01,8,band1pp,True,0.1458,-0.558,True,True
CCPI,EM12,2025-06-01,9,band1pp,True,-0.6716,0.0871,True,True
CCPI,EM12,2025-06-01,10,band1pp,True,0.5792,0.1825,True,True
CCPI,EM12,2025-06-01,11,band1pp,False,3.2473,0.2865,False,True
CCPI,EM12,2025-06-01,12,band1pp,True,0.0586,-0.8225,True,True
CCPI,EM12,2025-06-01,1,noband,False,0.1074,-1.6242,False,False
CCPI,EM12,2025-06-01,2,noband,True,0.2542,0.4987,False,False
CCPI,EM12,2025-06-01,3,noband,True,1.4594,1.9115,False,False
CCPI,EM12,2025-06-01,4,noband,True,0.3155,0.1894,False,False
CCPI,EM12,2025-06-01,5,noband,True,0.587,0.3377,False,False
CCPI,EM12,2025-06-01,6,noband,True,0.0582,0.0931,False,False
CCPI,EM12,2025-06-01,7,noband,False,0.0268,-1.3521,False,False
CCPI,EM12,2025-06-01,8,noband,False,0.1458,-0.558,False,False
CCPI,EM12,2025-06-01,9,noband,False,-0.6716,0.0871,False,False
CCPI,EM12,2025-06-01,10,noband,True,0.5792,0.1825,False,False
CCPI,EM12,2025-06-01,11,noband,True,3.2473,0.2865,False,False
CCPI,EM12,2025-06-01,12,noband,False,0.0586,-0.8225,False,False
CCPI,EM12,2025-07-01,1,band1pp,True,0.2542,0.2083,True,True
CCPI,EM12,2025-07-01,2,band1pp,True,1.4594,1.6993,False,False
CCPI,EM12,2025-07-01,3,band1pp,True,0.3155,0.2993,True,True
CCPI,EM12,2025-07-01,4,band1pp,True,0.587,0.917,True,True
CCPI,EM12,2025-07-01,5,band1pp,True,0.0582,0.1746,True,True
CCPI,EM12,2025-07-01,6,band1pp,False,0.0268,-1.2789,True,False
CCPI,EM12,2025-07-01,7,band1pp,True,0.1458,-0.5023,True,True
CCPI,EM12,2025-07-01,8,band1pp,True,-0.6716,0.1063,True,True
CCPI,EM12,2025-07-01,9,band1pp,True,0.5792,0.2017,True,True
CCPI,EM12,2025-07-01,10,band1pp,False,3.2473,0.3552,False,True
CCPI,EM12,2025-07-01,11,band1pp,True,0.0586,-0.4105,True,True
CCPI,EM12,2025-07-01,12,band1pp,False,1.2887,-0.3052,False,True
CCPI,EM12,2025-07-01,1,noband,True,0.2542,0.2083,False,False
CCPI,EM12,2025-07-01,2,noband,True,1.4594,1.6993,False,False
CCPI,EM12,2025-07-01,3,noband,True,0.3155,0.2993,False,False
CCPI,EM12,2025-07-01,4,noband,True,0.587,0.917,False,False
CCPI,EM12,2025-07-01,5,noband,True,0.0582,0.1746,False,False
CCPI,EM12,2025-07-01,6,noband,False,0.0268,-1.2789,False,False
CCPI,EM12,2025-07-01,7,noband,False,0.1458,-0.5023,False,False
CCPI,EM12,2025-07-01,8,noband,False,-0.6716,0.1063,False,False
CCPI,EM12,2025-07-01,9,noband,True,0.5792,0.2017,False,False
CCPI,EM12,2025-07-01,10,noband,True,3.2473,0.3552,False,False
CCPI,EM12,2025-07-01,11,noband,False,0.0586,-0.4105,False,False
