var,em,origin,MAE,RMSE,WAPE_pct,bias_pct,MAE_yoy,RMSE_yoy,bias_yoy,w80_pct,cov80,w60_pct,cov60,w20_pct,cov20,IS80,IS60,pinball_pct,level
HCPI,EM8,2025-06-01,2.12028,3.08813,1.00821,-0.90918,1.02619,1.49146,-0.92405,11.23913,0.91667,6.91541,0.91667,1.98613,0.66667,11.31903,7.19573,0.63082,210.3
HCPI,EM8,2025-07-01,4.56376,6.1254,2.15848,-2.15848,2.2087,2.95159,-2.2087,16.94775,1.0,11.59821,1.0,3.60126,0.66667,16.94775,11.59821,1.0759,211.43333
HCPI,EM8,2025-08-01,5.36509,5.94751,2.52247,2.11046,2.61906,2.90599,2.1987,14.29447,1.0,9.32886,0.66667,3.34124,0.33333,14.29447,10.23705,1.12238,212.69167
HCPI,EM8,2025-09-01,5.37781,7.17208,2.51202,-2.51202,2.59438,3.45345,-2.59438,12.37976,1.0,8.13255,0.75,2.4539,0.41667,12.37976,8.62786,0.99793,214.08333
HCPI,EM9,2025-04-01,2.96508,3.3637,1.42182,-1.42182,1.44121,1.63344,-1.44121,9.12287,1.0,6.16809,1.0,1.84711,0.25,9.12287,6.16809,0.64989,208.54167
HCPI,EM9,2025-05-01,2.1238,3.14769,1.01443,-1.00537,1.03023,1.52567,-1.02085,8.85033,1.0,5.81248,0.91667,1.75097,0.58333,8.85033,5.82793,0.54256,209.35833
HCPI,EM9,2025-06-01,3.34915,4.28929,1.59256,-1.59256,1.62417,2.07439,-1.62417,7.89658,1.0,4.57633,0.75,1.25412,0.16667,7.89658,5.68737,0.62337,210.3
HCPI,EM9,2025-07-01,2.63451,4.28968,1.24602,-1.04314,1.27222,2.06403,-1.06068,9.38498,1.0,6.24068,0.91667,1.90983,0.5,9.38498,6.58199,0.6826,211.43333
HCPI,EM9,2025-08-01,3.6464,3.98409,1.71441,0.21137,1.77142,1.93045,0.23513,8.78146,1.0,5.20325,0.83333,1.66731,0.08333,8.78146,5.42892,0.64277,212.69167
HCPI,EM9,2025-09-01,4.31837,5.98566,2.01714,-1.64772,2.08363,2.88131,-1.69481,8.38921,0.91667,4.80249,0.58333,1.29983,0.33333,8.42295,7.49997,0.7969,214.08333
